$ . project name ; const = integer-value var : int , subroutine begin end := ( ) + - * / % scan print if then endif else while do |= < =< > =>
ss ss 00 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss 01 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss 02 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss 03 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss ss ss 04 ss ss 04 ss ss ss 04 04 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss ss ss 05 ss ss 06 ss ss ss 06 06 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss 07 ss ss ss ss 08 ss ss ss 08 08 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss ss ss ss ss ss 09 ss ss ss 10 10 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss 11 ss ss ss ss ss ss ss ss 12 12 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss 13 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss 14 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss ss ss ss ss ss ss 16 ss 15 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss ss ss ss ss ss ss ss ss ss 17 18 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss ss ss ss ss ss ss ss ss ss 19 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss ss ss ss ss ss ss ss ss ss ss 20 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss 21 21 ss ss ss ss ss ss ss ss 21 22 ss ss ss ss ss ss ss ss 21 21 21 ss ss ss 21 ss ss ss ss ss ss
ss ss ss 23 28 ss ss ss ss ss ss ss ss 27 ss ss ss ss ss ss ss ss ss 24 24 25 ss 28 28 26 ss ss ss ss ss ss
ss ss ss 29 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss 30 ss ss ss 30 ss ss ss ss ss ss ss ss 30 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss ss 32 ss ss ss ss ss ss ss ss ss ss ss ss 32 31 31 ss ss ss ss ss ss ss 32 32 ss ss ss ss ss ss ss
ss ss ss 33 ss ss ss 33 ss ss ss ss ss ss ss ss 33 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss ss 35 ss ss ss ss ss ss ss ss ss ss ss ss 35 35 35 34 34 34 ss ss ss ss 35 35 ss ss ss ss ss ss ss
ss ss ss 37 ss ss ss 37 ss ss ss ss ss ss ss ss 36 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss 38 ss ss ss 39 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss 40 41 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss 42 43 44 ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss 45 46 ss ss ss ss ss ss ss ss ss ss ss
ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss 47 ss ss ss ss ss ss ss ss ss ss
ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss 49 48 ss ss ss ss ss ss ss
ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss 50 ss ss ss ss ss ss
ss ss ss 51 ss ss ss 51 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss
ss ss ss ss ss ss 52 ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss ss 53 54 55 56 57
